Season,Wins,Losses,Win%
2000–2001,56,26,0.683
2001–2002,58,24,0.707
2002–2003,50,32,0.61
2003–2004,56,26,0.683
2004–2005,34,48,0.415
2005–2006,45,37,0.549
2006–2007,42,40,0.512
2007–2008,57,25,0.695
2008–2009,65,17,0.793
2009–2010,57,25,0.695
2010–2011,57,25,0.695
2011–2012,41,25,0.621
2012–2013,45,37,0.549
2013–2014,27,55,0.329
2014–2015,21,61,0.256
2015–2016,17,65,0.207
2016–2017,26,56,0.317
2017–2018,35,47,0.427
2018–2019,37,45,0.451
