Season,Wins,Losses,Win%
2000–2001,31,51,0.378
2001–2002,39,43,0.476
2002–2003,27,55,0.329
2003–2004,28,54,0.341
2004–2005,37,45,0.451
2005–2006,47,35,0.573
2006–2007,40,42,0.488
2007–2008,23,59,0.28
2008–2009,19,63,0.232
2009–2010,29,53,0.353
2010–2011,32,50,0.39
2011–2012,40,26,0.606
2012–2013,56,26,0.683
2013–2014,57,25,0.695
2014–2015,56,26,0.683
2015–2016,53,29,0.646
2016–2017,51,31,0.622
2017–2018,42,40,0.512
2018–2019,48,34,0.585
