Season,Wins,Losses,Win%
2000–2001,55,27,0.672
2001–2002,61,21,0.744
2002–2003,59,23,0.72
2003–2004,55,27,0.672
2004–2005,50,32,0.61
2005–2006,44,38,0.537
2006–2007,33,49,0.402
2007–2008,38,44,0.463
2008–2009,17,65,0.207
2009–2010,25,57,0.305
2010–2011,24,58,0.293
2011–2012,22,44,0.333
2012–2013,28,54,0.341
2013–2014,28,54,0.341
2014–2015,29,53,0.354
2015–2016,33,49,0.402
2016–2017,32,50,0.39
2017–2018,27,55,0.329
2018–2019,39,43,0.476
